code,long,lat,flood_depth,log_medinc,small_size,large_size,low_status_customers,high_status_customers,owntype_sole_proprietor,owntype_national_chain,y1,y2,y3,street
2101,-90.0756,29.93019,0,9.91076103650263,1,0,0,1,1,0,0,0,0,1
2104,-90.075705,29.930155,0,9.91076103650263,1,0,0,1,1,0,1,1,1,1
2105,-90.075695,29.930165,0,9.91076103650263,0,0,0,1,1,0,1,1,1,1
2107,-90.0758,29.93006,0,9.91076103650263,0,0,0,0,1,0,1,1,1,1
2108,-90.0758,29.93004,0,9.91076103650263,1,0,0,1,1,0,1,1,1,1
2109,-90.0759,29.92999,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
2112,-90.0759,29.92995,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
2115,-90.076,29.92992,0,9.91076103650263,1,0,0,1,1,0,0,0,0,1
2126,-90.076,29.92986,0,9.91076103650263,1,0,0,0,1,0,1,1,1,1
2127,-90.0761,29.92984,0,9.91076103650263,0,0,0,1,1,0,1,1,1,1
2128,-90.0761,29.92978,0,9.91076103650263,1,0,0,0,1,0,0,1,1,1
2130,-90.0762,29.92973,0,9.91076103650263,0,0,0,0,1,0,0,1,1,1
2136,-90.0763,29.92968,0,9.91076103650263,1,0,1,0,1,0,1,1,1,1
2141,-90.0763,29.92964,0,9.91076103650263,0,0,1,0,0,0,1,1,1,1
2205,-90.0767,29.92941,0,9.91076103650263,0,0,0,0,0,0,0,0,0,1
2212,-90.0768,29.92937,0,9.94777712804231,0,0,0,0,1,0,1,1,1,1
2240,-90.077,29.92922,0,9.98347179696226,1,0,0,1,1,0,1,1,1,1
2302,-90.0776,29.92885,0,10.0179361462259,1,0,0,1,1,0,1,1,1,1
2360,-90.078505,29.928355,0,10.0512521705214,1,0,0,0,1,0,1,1,1,1
2361,-90.078495,29.928365,0,10.0834939313726,1,0,0,0,1,0,1,1,1,1
2600,-90.0807,29.9271,0,10.1147285486467,0,0,0,0,1,0,0,1,1,1
2727,-90.0819,29.92625,0,10.1744150476641,0,0,0,0,0,0,1,1,1,1
2728,-90.0817,29.9264,0,10.1450170418414,1,0,0,1,1,0,1,1,1,1
2800,-90.082305,29.926175,0,10.2029734351065,1,0,0,1,1,0,1,1,1,1
2801,-90.082295,29.926185,0,10.2307388351014,0,0,0,1,0,0,0,1,1,1
2803,-90.0825,29.9261,0,10.2307388351014,0,0,0,0,0,0,0,0,1,1
2809,-90.0827,29.92598,0,10.2307388351014,0,0,0,0,0,0,1,1,1,1
2810,-90.0828,29.92592,0,10.2307388351014,0,1,0,1,1,0,1,1,1,1
2841,-90.0828,29.92588,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
2842,-90.083,29.92576,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
2844,-90.0832,29.9257,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
2852,-90.0833,29.92563,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
2855,-90.0834,29.92557,0,10.2307388351014,0,0,0,0,1,0,0,0,0,1
2858,-90.0835,29.9255,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
2901,-90.0837,29.92542,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
2902,-90.0837,29.92538,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
2909,-90.0838,29.92533,0,10.2307388351014,0,0,0,0,0,0,1,1,1,1
2915,-90.0839,29.92529,0,10.2307388351014,0,0,0,0,0,1,1,1,1,1
2919,-90.0841,29.92516,0,10.2307388351014,0,0,0,0,0,1,0,1,1,1
2927,-90.0842,29.9251,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
2929,-90.0843,29.92507,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
2930,-90.0844,29.92501,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3001,-90.0845,29.92495,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3005,-90.0846,29.92489,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3013,-90.0847,29.92484,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3013,-90.0847,29.92484,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3017,-90.0848,29.92477,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3018,-90.0849,29.92471,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3025,-90.085,29.92467,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3027,-90.0851,29.92463,0,10.2307388351014,1,0,0,0,1,0,0,0,1,1
3033,-90.0852,29.92456,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3100,-90.085305,29.924485,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3101,-90.085295,29.924495,0,10.2307388351014,1,0,1,0,1,0,1,1,1,1
3102,-90.0853,29.92446,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3104,-90.0854,29.92443,0,10.2307388351014,1,0,0,0,1,0,0,0,1,1
3109,-90.0855,29.92438,0,10.2307388351014,1,0,0,0,1,0,0,0,1,1
3112,-90.0856,29.92433,0,10.2307388351014,0,0,0,0,1,0,0,0,1,1
3112,-90.0856,29.92433,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3115,-90.0856,29.9243,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3116,-90.085695,29.924285,0,10.2307388351014,1,0,0,0,1,0,0,0,1,1
3117,-90.085705,29.924275,0,10.2307388351014,1,0,0,0,1,0,0,0,1,1
3119,-90.0857,29.92425,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3120,-90.085705,29.924215,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3121,-90.085695,29.924225,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3122,-90.0858,29.9242,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
3125,-90.0858,29.92417,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3127,-90.0859,29.92414,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3128,-90.0859,29.92412,0,10.2307388351014,1,0,0,1,0,1,1,1,1,1
3137,-90.0861,29.92405,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3200,-90.086205,29.923955,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3201,-90.086195,29.923965,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3205,-90.0863,29.9239,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3209,-90.0864,29.92385,0,10.2307388351014,0,1,0,0,0,0,0,1,1,1
3212,-90.0865,29.92379,0,10.2307388351014,0,0,0,1,1,0,1,1,1,1
3216,-90.0866,29.92374,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3226,-90.0868,29.9236,0,10.2307388351014,0,0,0,0,0,0,0,0,1,1
3226,-90.0868,29.9236,0,10.2307388351014,0,0,0,0,0,0,0,0,0,1
3233,-90.087,29.92352,0,10.2307388351014,0,1,0,0,0,0,1,1,1,1
3236,-90.0871,29.92345,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3238,-90.0872,29.92338,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3242,-90.0873,29.92333,0,10.2307388351014,0,0,0,0,0,1,0,1,1,1
3301,-90.0875,29.92325,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3308,-90.0876,29.92323,0,10.2307388351014,1,0,0,1,0,0,0,0,1,1
3311,-90.0877,29.92318,0,10.2307388351014,1,0,0,0,1,0,0,0,1,1
3312,-90.0878,29.92315,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3315,-90.0879,29.92313,0,10.2307388351014,1,0,1,0,1,0,1,1,1,1
3318,-90.088,29.92311,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3320,-90.0881,29.92309,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3322,-90.0882,29.92307,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
3326,-90.0882,29.92305,0,10.2307388351014,1,0,0,0,1,0,0,0,1,1
3326,-90.0882,29.92305,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3330,-90.0883,29.92303,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
3340,-90.0884,29.92301,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3341,-90.0884,29.92299,0,10.2307388351014,0,0,0,0,0,0,0,1,1,1
3401,-90.0889,29.92286,0,10.2307388351014,0,0,0,0,0,0,1,1,1,1
3420,-90.0891,29.92278,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3421,-90.089,29.92282,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3423,-90.0892,29.92276,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3424,-90.0894,29.92269,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3425,-90.0893,29.92273,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3426,-90.0895,29.92268,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3426,-90.0895,29.92268,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3430,-90.0896,29.92265,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3434,-90.0897,29.92262,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3439,-90.0898,29.92259,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3440,-90.0898,29.92258,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3446,-90.0899,29.92256,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3453,-90.09,29.92254,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3454,-90.0903,29.92246,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3458,-90.0904,29.92241,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3502,-90.090505,29.922375,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3502,-90.090495,29.922385,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
3502,-90.090505,29.922375,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
3502,-90.090495,29.922385,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3507,-90.0906,29.92235,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3511,-90.0908,29.9223,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
3516,-90.0908,29.92228,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3517,-90.091,29.92224,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3524,-90.0912,29.92218,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3535,-90.0913,29.92215,0,10.2307388351014,0,0,0,0,0,0,1,1,1,1
3603,-90.0915,29.92208,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3617,-90.0919,29.92197,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3627,-90.0922,29.92189,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3634,-90.092405,29.921825,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3637,-90.092395,29.921835,0,10.2307388351014,0,0,0,1,1,0,1,1,1,1
3638,-90.0924,29.92182,0,10.2307388351014,1,0,0,0,1,0,0,0,1,1
3638,-90.0925,29.9218,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3638,-90.0924,29.92182,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3638,-90.0925,29.9218,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3640,-90.0926,29.92178,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3641,-90.0927,29.92176,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3642,-90.0927,29.92174,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3645,-90.0928,29.92171,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
3646,-90.0929,29.92168,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3648,-90.093,29.92166,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3700,-90.093105,29.921625,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3701,-90.093095,29.921635,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3704,-90.0931,29.92162,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3705,-90.0933,29.92159,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3714,-90.093395,29.921545,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3715,-90.093405,29.921535,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3719,-90.0936,29.92148,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3727,-90.0937,29.92143,0,10.2307388351014,1,0,1,0,1,0,1,1,1,1
3727,-90.0938,29.92141,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3727,-90.0937,29.92143,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3727,-90.0938,29.92141,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3800,-90.094005,29.921365,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3801,-90.0939,29.92138,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3805,-90.093995,29.921375,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3807,-90.094,29.92136,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
3811,-90.0941,29.92134,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3814,-90.0941,29.92133,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3815,-90.0942,29.92132,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3820,-90.0943,29.92129,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3823,-90.0944,29.92127,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3827,-90.0945,29.92126,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
3828,-90.0946,29.92122,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3900,-90.094805,29.921205,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3902,-90.094795,29.921215,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3905,-90.0949,29.92121,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3916,-90.0953,29.92121,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3923,-90.0955,29.92121,0,10.2307388351014,0,0,0,0,1,0,0,0,1,1
3929,-90.0956,29.9212,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3933,-90.0957,29.9212,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
3936,-90.095705,29.921185,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3937,-90.095695,29.921195,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3939,-90.0958,29.92118,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3943,-90.0959,29.92118,0,10.2307388351014,1,0,0,1,1,0,0,1,1,1
3944,-90.096,29.92117,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3947,-90.0961,29.92117,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3951,-90.0962,29.92116,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3952,-90.096305,29.921135,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3953,-90.0963,29.92114,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3953,-90.096295,29.921145,0,10.2307388351014,1,0,0,0,1,0,0,0,0,1
3956,-90.0964,29.92114,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3963,-90.0965,29.92113,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
3964,-90.0966,29.92112,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
4015,-90.0968,29.9211,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
4038,-90.0972,29.92107,0,10.2307388351014,0,0,0,1,1,0,1,1,1,1
4057,-90.0975,29.92104,0,10.2307388351014,0,0,0,0,0,0,0,1,1,1
4100,-90.097805,29.921015,0,10.2307388351014,0,0,0,1,1,0,0,1,1,1
4101,-90.097795,29.921025,0,10.2307388351014,0,0,0,1,1,0,1,1,1,1
4114,-90.097905,29.921005,0,10.2307388351014,0,0,0,1,1,0,0,0,1,1
4115,-90.097895,29.921015,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
4118,-90.098005,29.921005,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
4119,-90.097995,29.921015,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4124,-90.0981,29.921,0,10.2307388351014,1,0,0,1,1,0,0,0,0,1
4126,-90.0982,29.92099,0,10.2307388351014,0,0,0,0,1,0,0,1,1,1
4130,-90.0983,29.92098,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4138,-90.098505,29.920965,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4139,-90.098495,29.920975,0,10.2307388351014,0,0,0,0,0,0,1,1,1,1
4142,-90.0987,29.92095,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4200,-90.0989,29.92093,0,10.2307388351014,1,0,1,0,1,0,1,1,1,1
4201,-90.0988,29.92095,0,10.2307388351014,1,0,1,0,1,0,0,1,1,1
4204,-90.099,29.92092,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
4206,-90.0991,29.92092,0,10.2307388351014,1,0,0,0,1,0,0,1,1,1
4209,-90.0992,29.92092,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4214,-90.0993,29.9209,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4218,-90.0994,29.92089,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
4220,-90.099505,29.920875,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
4220,-90.0995,29.92088,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4220,-90.099505,29.920875,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4220,-90.0995,29.92088,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4221,-90.099495,29.920885,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4235,-90.0996,29.92088,0,10.2307388351014,1,0,0,0,1,0,1,1,1,1
4236,-90.0997,29.92087,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
4237,-90.0998,29.92086,0,10.2307388351014,1,0,1,0,1,0,1,1,1,1
4238,-90.0999,29.92085,0,10.2307388351014,1,0,0,1,1,0,1,1,1,1
4308,-90.1001,29.92084,0,10.2307388351014,0,0,0,0,1,0,1,1,1,1
4310,-90.1002,29.92082,0,10.2691926020704,0,0,0,0,1,0,0,1,1,1
4321,-90.1003,29.92082,0,10.3062222698509,1,0,0,0,1,0,1,1,1,1
4322,-90.1005,29.92079,0,10.3419295627411,1,0,0,0,1,0,0,1,1,1
4330,-90.1007,29.92077,0,10.3764056805014,0,0,0,0,1,0,1,1,1,1
4336,-90.101,29.92076,0,10.409732701928,1,0,1,0,1,0,1,1,1,1
4418,-90.1015,29.92072,0,10.441984761977,0,0,0,0,1,0,0,0,0,1
4421,-90.1018,29.92069,0,10.4732290449133,1,0,0,1,1,0,1,1,1,1
4430,-90.1021,29.92067,0,10.5035266269469,1,0,1,0,1,0,1,1,1,1
4437,-90.1023,29.92066,0,10.5329331949238,0,0,0,0,1,0,1,1,1,1
4505,-90.1025,29.92064,0,10.5614996623277,1,0,0,0,1,0,1,1,1,1
4507,-90.1026,29.92064,0,10.5614996623277,1,0,0,1,1,0,1,1,1,1
4510,-90.102605,29.920615,0,10.5614996623277,1,0,0,1,1,0,1,1,1,1
4511,-90.102595,29.920625,0,10.5614996623277,0,0,0,0,0,0,1,1,1,1
4514,-90.1027,29.92061,0,10.5614996623277,1,0,0,0,1,0,1,1,1,1
4515,-90.1028,29.92061,0,10.5614996623277,0,0,0,1,1,0,1,1,1,1
4517,-90.1029,29.9206,0,10.5614996623277,1,0,0,1,1,0,1,1,1,1
4518,-90.103,29.9206,0,10.5614996623277,1,0,1,0,1,0,1,1,1,1
4528,-90.1031,29.92059,0,10.5614996623277,1,0,0,0,1,0,0,1,1,1
4530,-90.1032,29.92058,0,10.5614996623277,0,0,0,1,1,0,1,1,1,1
4532,-90.1033,29.92057,0,10.5614996623277,1,0,0,1,1,0,1,1,1,1
4536,-90.1034,29.92056,0,10.5614996623277,1,0,0,0,1,0,1,1,1,1
4610,-90.1036,29.92055,0,10.5614996623277,1,0,0,1,1,0,0,1,1,1
4612,-90.1038,29.92052,0,10.5614996623277,1,0,0,0,1,0,1,1,1,1
4617,-90.104,29.9205,0,10.5614996623277,1,0,0,1,1,0,1,1,1,1
4618,-90.1042,29.92047,0,10.5614996623277,1,0,0,0,1,0,0,1,1,1
4637,-90.1044,29.92045,0,10.5614996623277,0,0,1,0,0,0,0,1,1,1
4639,-90.1045,29.92043,0,10.5614996623277,0,0,0,0,1,0,1,1,1,1
4647,-90.1047,29.92041,0,10.5614996623277,1,0,1,0,0,0,1,1,1,1
4703,-90.1048,29.9204,0,10.5614996623277,1,0,1,0,0,1,0,1,1,1
4713,-90.1049,29.92039,0,10.5614996623277,1,0,1,0,1,0,0,0,1,1
4717,-90.105,29.92039,0,10.5614996623277,1,0,1,0,1,0,0,1,1,1
4719,-90.1051,29.92038,0,10.5614996623277,1,0,0,1,0,0,1,1,1,1
4721,-90.1053,29.92037,0,10.5614996623277,0,0,0,1,0,0,1,1,1,1
4730,-90.1056,29.92035,0,10.5614996623277,1,0,1,0,1,0,0,0,0,1
4731,-90.1054,29.92036,0,10.5614996623277,1,0,0,0,1,0,1,1,1,1
4741,-90.1058,29.92034,0,10.5614996623277,1,0,0,0,1,0,1,1,1,1
4800,-90.1059,29.92034,0,10.5614996623277,1,0,1,0,1,0,1,1,1,1
4801,-90.1061,29.92033,0,10.5614996623277,1,0,0,0,1,0,1,1,1,1
4809,-90.1066,29.92032,0,10.5614996623277,1,0,0,0,1,0,1,1,1,1
4841,-90.1069,29.92032,0,10.5614996623277,1,0,1,0,1,0,0,0,1,1
